GameID,Name,Date,Team,FDP,FDS,FD_change,FD_pos,OPP,Home,Away,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20181016-phi-bos,Robert Covington,20181016,phi,22.2,6500.0,,3.0,bos,1,0,34.12,3,10,0.3,2,7,0.28600000000000003,0,0,0.0,1,5,6,0,2,1,2,1,8,-9
20181016-phi-bos,Ben Simmons,20181016,phi,64.0,10000.0,,1.0,bos,1,0,42.45,7,14,0.5,0,0,0.0,5,10,0.5,3,12,15,8,4,2,3,5,19,-8
20181016-phi-bos,Jonah Bolden,20181016,phi,0.0,3500.0,,4.0,bos,1,0,1.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
20181016-phi-bos,Landry Shamet,20181016,phi,2.2,3500.0,,1.0,bos,1,0,12.42,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-8
20181016-phi-bos,Demetrius Jackson,20181016,phi,0.0,3500.0,,1.0,bos,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181016-phi-bos,Furkan Korkmaz,20181016,phi,0.0,3500.0,,2.0,bos,1,0,1.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
20181016-phi-bos,Shake Milton,20181016,phi,0.0,3500.0,,2.0,bos,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181016-phi-bos,Amir Johnson,20181016,phi,10.1,3500.0,,4.0,bos,1,0,11.11,1,1,1.0,0,0,0.0,3,4,0.75,0,3,3,1,0,0,0,1,5,-10
20181016-phi-bos,Markelle Fultz,20181016,phi,11.6,5700.0,,1.0,bos,1,0,24.2,2,7,0.28600000000000003,0,0,0.0,1,2,0.5,0,3,3,2,1,0,3,1,5,-16
20181016-phi-bos,T.J. McConnell,20181016,phi,9.7,3600.0,,1.0,bos,1,0,22.26,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,3,4,-11
20181016-phi-bos,J.J. Redick,20181016,phi,19.9,5100.0,,2.0,bos,1,0,29.46,7,17,0.41200000000000003,2,8,0.25,0,0,0.0,0,2,2,1,0,0,0,1,16,-10
20181016-phi-bos,Joel Embiid,20181016,phi,42.0,10400.0,,5.0,bos,1,0,36.49,9,21,0.429,1,4,0.25,4,5,0.8,2,8,10,2,1,2,5,3,23,-8
20181017-atl-nyk,Vince Carter,20181017,atl,12.4,3800.0,,2.0,nyk,1,0,23.58,4,9,0.444,2,6,0.33299999999999996,2,2,1.0,0,2,2,0,0,0,2,5,12,7
20181017-atl-nyk,Kent Bazemore,20181017,atl,28.2,5900.0,,2.0,nyk,1,0,30.16,6,12,0.5,2,6,0.33299999999999996,0,0,0.0,2,4,6,0,2,1,2,3,14,0
20181017-atl-nyk,Alex Len,20181017,atl,14.8,5100.0,,5.0,nyk,1,0,21.26,3,6,0.5,0,2,0.0,1,2,0.5,2,2,4,2,0,1,3,4,7,-14
20181017-atl-nyk,Trae Young,20181017,atl,24.7,6100.0,,1.0,nyk,1,0,33.08,5,14,0.35700000000000004,1,5,0.2,3,4,0.75,0,6,6,5,0,0,4,4,14,-20
20181017-atl-nyk,Jaylen Adams,20181017,atl,2.7,3500.0,,2.0,nyk,1,0,4.17,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,4
20181017-atl-nyk,Kevin Huerter,20181017,atl,3.6,3600.0,,2.0,nyk,1,0,4.35,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,4
20181017-atl-nyk,Alex Poythress,20181017,atl,11.4,3500.0,,4.0,nyk,1,0,20.43,4,8,0.5,1,3,0.33299999999999996,0,1,0.0,1,1,2,0,1,0,3,4,9,-21
20181017-atl-nyk,Jeremy Lin,20181017,atl,16.5,5000.0,,1.0,nyk,1,0,13.42,3,6,0.5,0,2,0.0,2,2,1.0,0,5,5,1,1,0,2,0,8,-5
20181017-atl-nyk,Miles Plumlee,20181017,atl,7.0,3500.0,,5.0,nyk,1,0,9.22,2,2,1.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,0,2,7,-5
20181017-atl-nyk,Tyler Dorsey,20181017,atl,9.6,4800.0,,2.0,nyk,1,0,14.36,3,8,0.375,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,2,6,-12
20181017-atl-nyk,Omari Spellman,20181017,atl,16.6,3500.0,,4.0,nyk,1,0,8.19,3,4,0.75,1,2,0.5,0,0,0.0,1,2,3,0,1,1,0,1,7,2
20181017-atl-nyk,Ron Baker,20181017,nyk,13.8,3500.0,,2.0,atl,0,1,4.45,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,2,2,-5
20181017-atl-nyk,Lance Thomas,20181017,nyk,5.0,4600.0,,3.0,atl,0,1,6.11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,2
20181017-atl-nyk,Noah Vonleh,20181017,nyk,28.5,3500.0,,4.0,atl,0,1,2.5,1,1,1.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,3,-1
20181017-atl-nyk,Allonzo Trier,20181017,nyk,22.8,3500.0,,2.0,atl,0,1,3.54,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,0,2,-3
20181017-atl-nyk,Frank Ntilikina,20181017,nyk,23.5,3800.0,,1.0,atl,0,1,9.42,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,1,0,0,0,3,-2
20181017-atl-nyk,Damyean Dotson,20181017,nyk,0.0,3500.0,,2.0,atl,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181017-atl-nyk,Trey Burke,20181017,nyk,22.6,4900.0,,1.0,atl,0,1,7.15,2,5,0.4,1,1,1.0,0,0,0.0,0,1,1,0,0,0,2,1,5,4
20181017-atl-nyk,Courtney Lee,20181017,nyk,0.0,3600.0,,2.0,atl,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181017-atl-nyk,Kevin Knox,20181017,nyk,17.0,5100.0,,4.0,atl,0,1,5.49,0,4,0.0,0,0,0.0,0,2,0.0,0,0,0,0,1,0,1,0,0,-3
20181017-atl-nyk,Mitchell Robinson,20181017,nyk,2.0,4100.0,,5.0,atl,0,1,1.18,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2
20181017-atl-nyk,Enes Kanter,20181017,nyk,38.7,7000.0,,5.0,atl,0,1,7.52,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,0,0,2
20181017-atl-nyk,Mario Hezonja,20181017,nyk,26.1,5400.0,,3.0,atl,0,1,2.18,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1
20181017-bkn-det,Spencer Dinwiddie,20181017,bkn,35.8,5100.0,,1.0,det,1,0,32.17,10,18,0.556,0,3,0.0,3,5,0.6,0,4,4,6,1,0,4,1,23,6
20181017-bkn-det,Jared Dudley,20181017,bkn,18.1,3500.0,,3.0,det,1,0,35.51,0,5,0.0,0,4,0.0,1,2,0.5,2,1,3,3,3,0,0,5,1,-8
20181017-bkn-det,Rodions Kurucs,20181017,bkn,4.7,3500.0,,4.0,det,1,0,10.37,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,2,3,3
20181017-bkn-det,Joe Harris,20181017,bkn,28.7,3900.0,,2.0,det,1,0,37.08,6,14,0.429,1,7,0.14300000000000002,0,0,0.0,0,6,6,5,1,0,2,2,13,-2
20181017-bkn-det,Jarrett Allen,20181017,bkn,39.0,5600.0,,5.0,det,1,0,30.09,6,10,0.6,2,3,0.667,3,4,0.75,2,8,10,0,0,4,2,4,17,-9
20181017-bkn-det,D'Angelo Russell,20181017,bkn,18.9,6700.0,,1.0,det,1,0,24.58,3,9,0.33299999999999996,1,4,0.25,1,2,0.5,0,2,2,5,1,0,2,1,8,-9
20181017-bkn-det,Ed Davis,20181017,bkn,21.9,3500.0,,5.0,det,1,0,17.36,4,4,1.0,0,0,0.0,0,1,0.0,0,7,7,3,1,0,2,2,8,8
20181017-bkn-det,Caris LeVert,20181017,bkn,40.8,6000.0,,2.0,det,1,0,33.59,10,18,0.556,0,2,0.0,7,8,0.875,1,3,4,4,1,1,3,2,27,-10
20181017-bkn-det,Treveon Graham,20181017,bkn,5.9,3500.0,,2.0,det,1,0,17.25,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,4,0,6
20181017-bkn-det,Kenneth Faried,20181017,bkn,0.0,3500.0,,4.0,det,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181017-bkn-det,Theo Pinson,20181017,bkn,0.0,3500.0,,3.0,det,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20181017-bkn-det,Stanley Johnson,20181017,det,0.0,4800.0,,3.0,bkn,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
