Date,GameID,Name,Team,OPP,Home,Away,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20191022,20191022-Nor-Tor,Jrue Holiday,Nor,Tor,1,0,41.05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,-14
20191022,20191022-Nor-Tor,Brandon Ingram,Nor,Tor,1,0,35.06,8,19,.421,2,5,.400,4,4,1.000,0,5,5,5,1,2,2,4,22,-19
20191022,20191022-Nor-Tor,J.J. Redick,Nor,Tor,1,0,27.03,6,9,.667,4,6,.667,0,0,0,0,2,2,1,0,0,3,3,16,-14
20191022,20191022-Nor-Tor,Lonzo Ball,Nor,Tor,1,0,24.50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,-7
20191022,20191022-Nor-Tor,Derrick Favors,Nor,Tor,1,0,20.46,3,6,.500,0,0,0,0,0,0,1,6,7,2,0,1,1,5,6,-12
20191022,20191022-Nor-Tor,Josh Hart,Nor,Tor,1,0,28.10,4,9,.444,3,5,.600,4,4,1.000,4,6,10,1,0,1,1,4,15,-1
20191022,20191022-Nor-Tor,Nicolò Melli,Nor,Tor,1,0,19.37,5,7,.714,4,5,.800,0,0,0,2,3,5,2,0,0,2,1,14,+11
20191022,20191022-Nor-Tor,Kenrich Williams,Nor,Tor,1,0,18.02,0,4,.000,0,2,.000,3,3,1.000,3,3,6,3,1,2,1,5,3,+11
20191022,20191022-Nor-Tor,Frank Jackson,Nor,Tor,1,0,13.51,3,6,.500,1,3,.333,2,2,1.000,0,0,0,1,0,0,1,3,9,+7
20191022,20191022-Nor-Tor,Jahlil Okafor,Nor,Tor,1,0,12.29,3,3,1.000,0,0,0,2,3,.667,2,0,2,0,0,1,1,3,8,-7
20191022,20191022-Nor-Tor,E'Twaun Moore,Nor,Tor,1,0,12.06,2,7,.286,1,3,.333,0,0,0,1,2,3,2,0,0,0,0,5,-1
20191022,20191022-Nor-Tor,Nickeil Alexander-Walker,Nor,Tor,1,0,11.55,1,10,.100,1,7,.143,0,0,0,1,3,4,2,2,0,1,2,3,+6
20191022,20191022-Nor-Tor,Jaxson Hayes,Nor,Tor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-Nor-Tor,Kyle Lowry,Tor,Nor,0,1,44.59,4,15,.267,3,11,.273,11,13,.846,1,4,5,6,2,0,4,4,22,-1
20191022,20191022-Nor-Tor,Fred VanVleet,Tor,Nor,0,1,44.21,12,18,.667,5,7,.714,5,6,.833,0,5,5,7,2,0,2,0,34,+18
20191022,20191022-Nor-Tor,Pascal Siakam,Tor,Nor,0,1,38.09,11,26,.423,2,5,.400,10,11,.909,6,12,18,5,0,1,4,6,34,+5
20191022,20191022-Nor-Tor,OG Anunoby,Tor,Nor,0,1,35.48,5,12,.417,1,4,.250,0,1,.000,3,4,7,0,0,2,1,3,11,+12
20191022,20191022-Nor-Tor,Marc Gasol,Tor,Nor,0,1,31.55,2,9,.222,1,4,.250,1,1,1.000,1,3,4,1,0,0,0,5,6,-2
20191022,20191022-Nor-Tor,Norman Powell,Tor,Nor,0,1,28.38,2,7,.286,1,5,.200,0,0,0,1,7,8,2,0,0,2,2,5,+2
20191022,20191022-Nor-Tor,Serge Ibaka,Tor,Nor,0,1,26.00,4,10,.400,0,1,.000,5,6,.833,2,3,5,0,1,0,3,2,13,+6
20191022,20191022-Nor-Tor,Terence Davis,Tor,Nor,0,1,15.10,2,6,.333,1,3,.333,0,0,0,2,3,5,2,2,0,0,2,5,0
20191022,20191022-Nor-Tor,Matt Thomas,Tor,Nor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-Nor-Tor,Chris Boucher,Tor,Nor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-Nor-Tor,Stanley Johnson,Tor,Nor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-Nor-Tor,Malcolm Miller,Tor,Nor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-Nor-Tor,Dewan Hernandez,Tor,Nor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191022,20191022-LAL-LAC,Anthony Davis,LAL,LAC,1,0,37.22,8,21,.381,0,2,.000,9,14,.643,3,6,9,5,1,2,3,3,25,+3
20191022,20191022-LAL-LAC,LeBron James,LAL,LAC,1,0,36.00,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,-8
20191022,20191022-LAL-LAC,Danny Green,LAL,LAC,1,0,32.20,10,14,.714,7,9,.778,1,1,1.000,1,6,7,0,2,1,0,3,28,+7
20191022,20191022-LAL-LAC,Avery Bradley,LAL,LAC,1,0,24.02,3,7,.429,2,5,.400,0,0,0,0,3,3,0,0,0,2,3,8,-1
20191022,20191022-LAL-LAC,JaVale McGee,LAL,LAC,1,0,17.20,2,3,.667,0,0,0,0,0,0,1,1,2,0,0,2,1,0,4,0
20191022,20191022-LAL-LAC,Kentavious Caldwell-Pope,LAL,LAC,1,0,27.23,0,3,.000,0,2,.000,0,0,0,0,3,3,3,0,0,1,5,0,-8
20191022,20191022-LAL-LAC,Dwight Howard,LAL,LAC,1,0,19.02,1,3,.333,0,0,0,1,1,1.000,3,3,6,1,0,1,0,4,3,-1
20191022,20191022-LAL-LAC,Quinn Cook,LAL,LAC,1,0,16.56,2,7,.286,0,3,.000,0,0,0,0,1,1,2,0,0,1,0,4,-9
