Player,Date,FDP,FDSal,FDP_1
Drew Eubanks,2018-10-17,-0.3184202709043979,3500.0,0.3671304539889233
Drew Eubanks,2018-10-20,0.3671304539889233,3500.0,-0.3184202709043979
Drew Eubanks,2018-10-22,-0.3184202709043979,3500.0,0.3671304539889233
Drew Eubanks,2018-10-24,0.3671304539889233,3500.0,-0.3184202709043979
Drew Eubanks,2018-10-27,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-10-29,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-10-31,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-03,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-04,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-07,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-10,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-12,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-14,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-15,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-18,-0.3184202709043979,3500.0,0.778460888924916
Drew Eubanks,2018-11-19,0.778460888924916,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-21,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-23,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-24,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-26,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-28,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-11-30,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-02,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-04,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-05,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-07,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-09,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-11,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-13,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-15,-0.3184202709043979,3500.0,2.663725382381549
Drew Eubanks,2018-12-17,2.663725382381549,3500.0,5.165985528242172
Drew Eubanks,2018-12-19,5.165985528242172,3500.0,0.4356855264782555
Drew Eubanks,2018-12-21,0.4356855264782555,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-22,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-26,-0.3184202709043979,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-28,-0.3184202709043979,3500.0,0.0929101640315948
Drew Eubanks,2018-12-29,0.0929101640315948,3500.0,-0.3184202709043979
Drew Eubanks,2018-12-31,-0.3184202709043979,3500.0,
Drew Eubanks,2019-01-03,-0.3982231232496248,3500.0,0.16120307577018086
Drew Eubanks,2019-01-05,0.16120307577018086,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-07,-0.3982231232496248,3500.0,-0.0625674038377414
Drew Eubanks,2019-01-09,-0.0625674038377414,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-10,-0.3982231232496248,3500.0,1.2520841638588018
Drew Eubanks,2019-01-12,1.2520841638588018,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-14,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-16,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-18,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-20,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-23,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-26,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-27,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-29,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-01-31,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-02,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-04,-0.3982231232496248,3500.0,3.573702889790995
Drew Eubanks,2019-02-06,3.573702889790995,3500.0,0.8325145145939478
Drew Eubanks,2019-02-07,0.8325145145939478,3500.0,0.3570022454271129
Drew Eubanks,2019-02-09,0.3570022454271129,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-12,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-22,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-24,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-25,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-02-27,-0.3982231232496248,3500.0,-0.3422805033476442
Drew Eubanks,2019-03-02,-0.3422805033476442,3500.0,1.8394816728295977
Drew Eubanks,2019-03-04,1.8394816728295977,3500.0,2.1191947723395006
Drew Eubanks,2019-03-06,2.1191947723395006,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-10,-0.3982231232496248,3500.0,0.7486005847409767
Drew Eubanks,2019-03-12,0.7486005847409767,3500.0,-0.3982231232496248
